鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
,車位,,0,,,,10306,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1230000,,坡道平面,35.41,1230000,,2(資料揭露)
,車位,,0,,,,10504,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1400000,,坡道平面,35.41,1400000,,2(資料揭露)
,車位,,0,,,,10307,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1430000,,坡道平面,35.41,1430000,,2(資料揭露)
,車位,,0,,,,10608,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1390000,,坡道平面,34.15,1390000,,2(資料揭露)
,車位,,0,,,,10504,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1450000,,坡道平面,35.41,1450000,,2(資料揭露)
,車位,,0,,,,10504,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1450000,,坡道平面,35.41,1450000,,2(資料揭露)
,車位,,0,,,,10601,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1460000,,坡道平面,35.41,1460000,,2(資料揭露)
,車位,,0,,,,10508,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1450000,,坡道平面,34.15,1450000,,2(資料揭露)
,車位,,0,,,,10703,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1450000,,坡道平面,34.15,1450000,,2(資料揭露)
,車位,,0,,,,10306,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1530000,,坡道平面,35.41,1530000,,2(資料揭露)
,車位,,0,,,,10306,,0,其他,住家用,鋼筋混凝土造,,0,35.41,0,0,0,有,無,1530000,,坡道平面,35.41,1530000,,2(資料揭露)
,車位,,0,,,,10503,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1540000,,坡道平面,34.15,1540000,,2(資料揭露)
,車位,,0,,,,10707,,26,其他,國民住宅,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1540000,,坡道平面,34.15,1540000,,2(資料揭露)
,車位,,0,,,,10505,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1650000,,坡道平面,34.15,1650000,,2(資料揭露)
,車位,,0,,,,10411,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1650000,,坡道平面,34.15,1650000,,2(資料揭露)
,車位,,0,,,,10610,,26,其他,停車空間,鋼筋混凝土造,,0,34.15,0,0,0,有,無,1980000,,坡道平面,34.15,1980000,,2(資料揭露)
東區,房地(土地+建物)+車位,東勢子段91~120地號,0.53,住,,,10709,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,169.32,3,2,2,有,無,9080000,58656,坡道平面,36,1260000,親友、員工或其他特殊關係間之交易。;,5(揭露且明細顯示備註)
東區,房地(土地+建物)+車位,東勢子段91~120地號,0.27,住,,,10708,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,121.49,2,2,1,有,無,6620000,61295,坡道機械,26.54,800000,,2(資料揭露)
